Institute#Academic Program Name#Quota#Seat Type#Gender#Opening Rank#Closing Rank
Indian Institute of Technology Bhubaneswar#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7182#9295
Indian Institute of Technology Bhubaneswar#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#13212#15064
Indian Institute of Technology Bhubaneswar#Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#9317#9751
Indian Institute of Technology Bhubaneswar#Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#15881#15881
Indian Institute of Technology Bhubaneswar#Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#10004#10465
Indian Institute of Technology Bhubaneswar#Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#17239#17239
Indian Institute of Technology Bhubaneswar#Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#10107#10618
Indian Institute of Technology Bhubaneswar#Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#17221#17221
Indian Institute of Technology Bhubaneswar#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1319#2219
Indian Institute of Technology Bhubaneswar#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#2906#3935
Indian Institute of Technology Bhubaneswar#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#2251#2619
Indian Institute of Technology Bhubaneswar#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#5028#5028
Indian Institute of Technology Bhubaneswar#Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#4324#5811
Indian Institute of Technology Bhubaneswar#Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#9092#9092
Indian Institute of Technology Bhubaneswar#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2539#4885
Indian Institute of Technology Bhubaneswar#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#7965#9069
Indian Institute of Technology Bhubaneswar#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2348#3637
Indian Institute of Technology Bhubaneswar#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#5270#6384
Indian Institute of Technology Bhubaneswar#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4985#6146
Indian Institute of Technology Bhubaneswar#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#10041#13082
