Institute#Academic Program Name#Quota#Seat Type#Gender#Opening Rank#Closing Rank
Indian Institute of Technology Bhubaneswar#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#8471#10302
Indian Institute of Technology Bhubaneswar#Civil Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#16750#17412
Indian Institute of Technology Bhubaneswar#Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#10473#11262
Indian Institute of Technology Bhubaneswar#Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#18954#18954
Indian Institute of Technology Bhubaneswar#Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#11065#11274
Indian Institute of Technology Bhubaneswar#Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#19513#19513
Indian Institute of Technology Bhubaneswar#Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#11345#11828
Indian Institute of Technology Bhubaneswar#Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#19556#19556
Indian Institute of Technology Bhubaneswar#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#1621#2176
Indian Institute of Technology Bhubaneswar#Computer Science and Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#3221#5005
Indian Institute of Technology Bhubaneswar#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#2293#2710
Indian Institute of Technology Bhubaneswar#Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#5150#5150
Indian Institute of Technology Bhubaneswar#Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#5104#6086
Indian Institute of Technology Bhubaneswar#Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#12517#12517
Indian Institute of Technology Bhubaneswar#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#4438#5230
Indian Institute of Technology Bhubaneswar#Electrical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#8253#10520
Indian Institute of Technology Bhubaneswar#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#2918#3917
Indian Institute of Technology Bhubaneswar#Electronics and Communication Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#6811#7917
Indian Institute of Technology Bhubaneswar#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#6295#7586
Indian Institute of Technology Bhubaneswar#Mechanical Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#11522#14501
Indian Institute of Technology Bhubaneswar#Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#7809#8533
Indian Institute of Technology Bhubaneswar#Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#15815#15815
Indian Institute of Technology Bhubaneswar#Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#8681#8990
Indian Institute of Technology Bhubaneswar#Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#18052#18052
Indian Institute of Technology Bhubaneswar#Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Gender-Neutral#7941#9141
Indian Institute of Technology Bhubaneswar#Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))#AI#OPEN#Female-only (including Supernumerary)#17604#17604
Indian Institute of Technology Bhubaneswar#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Gender-Neutral#7605#10824
Indian Institute of Technology Bhubaneswar#Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)#AI#OPEN#Female-only (including Supernumerary)#15005#19658
